11 11	\b11.*\b11.*	\b1.*\b1.*\b .*\b1.*\b1.*	null
19	\b19.*	\b1.*\b9.*	\b1.*\b9.*
2016 38th Annual International Conference of the Ieee Engineering in Medicine and Biology Society	\b2016.*\b38th.*\bAnnual.*\bInternational.*\bConference.*\bof.*\bthe.*\bIeee.*\bEngineering.*\bin.*	null	null
2016 October	\b2016.*\bOctober.*	null	null
2016October	\b2016October.*	null	null
ACP Journal Club	\bACP.*\bJournal.*\bClub.*	null	\bA.*\bC.*\bP.*
AIDS	\bAIDS.*	null	null
AIDS London England	\bAIDS.*\bLondon.*\bEngland.*	null	null
AJR Am J Roentgenol	\bAJR.*\bAm.*\bJ.*\bRoentgenol.*	null	\bA.*\bJ.*\bR.*
ALTEX Alternativen zu Tierexperimenten	\bALTEX.*\bAlternativen.*\bzu.*\bTierexperimenten.*	null	null
AMIA Annu Symp Proc	\bAMIA.*\bAnnu.*\bSymp.*\bProc.*	null	\bA.*\bM.*\bI.*\bA.*
AMIA Annual Symposium proceedings AMIA Symposium	\bAMIA.*\bAnnual.*\bSymposium.*\bproceedings.*\bAMIA.*\bSymposium.*	null	\bA.*\bM.*\bI.*\bA.*
AMIA Joint Summits on Translational Science	\bAMIA.*\bJoint.*\bSummits.*\bon.*\bTranslational.*\bScience.*	null	\bA.*\bM.*\bI.*\bA.*
AMIA Joint Summits on Translational Science proceedings	\bAMIA.*\bJoint.*\bSummits.*\bon.*\bTranslational.*\bScience.*\bproceedings.*	null	\bA.*\bM.*\bI.*\bA.*
AMIA Joint Summits on Translational Science proceedings AMIA Joint Summits on Translational Science	\bAMIA.*\bJoint.*\bSummits.*\bon.*\bTranslational.*\bScience.*\bproceedings.*\bAMIA.*\bJoint.*\bSummits.*	null	\bA.*\bM.*\bI.*\bA.*
AMIA Summits Transl Sci Proc	\bAMIA.*\bSummits.*\bTransl.*\bSci.*\bProc.*	null	\bA.*\bM.*\bI.*\bA.*
ANZ J Surg	\bANZ.*\bJ.*\bSurg.*	null	\bA.*\bN.*\bZ.*
ANZ journal of surgery	\bANZ.*\bjournal.*\bof.*\bsurgery.*	null	\bA.*\bN.*\bZ.*
APMIS	\bAPMIS.*	\bA.*\bP.*\bM.*\bI.*\bS.*	\bA.*\bP.*\bM.*\bI.*\bS.*
Aaierj Dio Dis	\bAaierj.*\bDio.*\bDis.*	null	null
Acta Biol Hung	\bActa.*\bBiol.*\bHung.*	null	null
Acta Biologica Hungarica	\bActa.*\bBiologica.*\bHungarica.*	null	null
Acta Chir Scand	\bActa.*\bChir.*\bScand.*	null	null
Acta Chirurgica Scandinavica	\bActa.*\bChirurgica.*\bScandinavica.*	null	null
Acta Gastro Enterologica Belgica	\bActa.*\bGastro.*\bEnterologica.*\bBelgica.*	null	null
Acta Gastroenterol Belg	\bActa.*\bGastroenterol.*\bBelg.*	null	null
Acta Oncologica	\bActa.*\bOncologica.*	null	null
